    bottom        top       left      right 
1.00000000 1.00000000 1.00000000 1.00000000 

4.93032E-2 1.24413179 -4.1054E-1 -4.0646E-1 
4.00506E-2 2.36506018 -6.4312E-1 -6.3946E-1 
3.10667E-2 1.65158877 -6.7501E-1 -6.7231E-1 
3.95817E-2 -1.4713E-1 -8.2452E-1 -8.2229E-1 
4.55482E-2 -1.0004701 -9.0274E-1 -9.0161E-1 
4.13488E-2 -1.5825721 -8.6028E-1 -8.6141E-1 
2.95323E-2 -1.6001987 -7.8410E-1 -7.8727E-1 
2.57009E-2 -1.4981785 -7.7438E-1 -7.7918E-1 
2.33786E-2 -1.1878698 -7.7271E-1 -7.8031E-1 
2.23053E-2 -8.1611E-1 -7.0708E-1 -7.1707E-1 
2.06337E-2 -5.1782E-1 -5.5516E-1 -5.6682E-1 
1.85436E-2 -3.1068E-1 -3.7175E-1 -3.8451E-1 
1.54943E-2 -7.9697E-2 -1.3638E-1 -1.5013E-1 
1.20465E-2 1.86438E-1 9.98895E-2 8.53579E-2 
9.93774E-3 3.60320E-1 2.25288E-1 2.10440E-1 
8.34250E-3 4.90349E-1 3.09047E-1 2.94048E-1 
6.91343E-3 6.00625E-1 3.79383E-1 3.64307E-1 
6.32011E-3 6.24103E-1 3.99232E-1 3.84193E-1 
5.55032E-3 5.88114E-1 3.96856E-1 3.82007E-1 
5.27434E-3 5.31149E-1 3.71979E-1 3.57280E-1 
4.99462E-3 4.45687E-1 3.27647E-1 3.13145E-1 
4.81369E-3 3.20460E-1 2.53862E-1 2.39594E-1 
4.79324E-3 2.38990E-1 2.01055E-1 1.86909E-1 
4.80833E-3 1.58020E-1 1.45780E-1 1.31742E-1 
4.79797E-3 1.29700E-2 4.37079E-2 2.98565E-2 
4.74114E-3 -1.0277E-1 -3.8900E-2 -5.2613E-2 
4.65184E-3 -1.8373E-1 -9.8525E-2 -1.1214E-1 
4.35135E-3 -2.4865E-1 -1.5000E-1 -1.6351E-1 
4.10127E-3 -2.6317E-1 -1.6517E-1 -1.7862E-1 
3.47353E-3 -2.4419E-1 -1.6380E-1 -1.7711E-1 
3.15443E-3 -2.1872E-1 -1.4924E-1 -1.6245E-1 
2.90667E-3 -1.8808E-1 -1.3128E-1 -1.4440E-1 
2.52217E-3 -1.3648E-1 -1.0025E-1 -1.1323E-1 
2.24410E-3 -9.8550E-2 -7.6235E-2 -8.9078E-2 
1.90197E-3 -5.0355E-2 -4.4475E-2 -5.7133E-2 
1.51237E-3 6.24093E-3 -5.8395E-3 -1.8236E-2 
1.06945E-3 7.23109E-2 4.06751E-2 2.86762E-2 
8.40809E-4 1.02071E-1 6.25417E-2 5.08132E-2 
6.78715E-4 1.17213E-1 7.50088E-2 6.35053E-2 
5.03333E-4 1.28211E-1 8.68676E-2 7.57401E-2 
4.33317E-4 1.25042E-1 8.77793E-2 7.69825E-2 
3.98097E-4 1.09488E-1 8.00196E-2 6.96079E-2 
4.14444E-4 9.06926E-2 6.87091E-2 5.85794E-2 
4.39138E-4 6.83784E-2 5.47182E-2 4.48607E-2 
4.59438E-4 5.66415E-2 4.71072E-2 3.73784E-2 
5.05457E-4 2.66981E-2 2.71690E-2 1.77595E-2 
5.39421E-4 1.28012E-3 9.63758E-3 5.03251E-4 
5.65103E-4 -1.7608E-2 -4.0223E-3 -1.2925E-2 
5.76408E-4 -2.7534E-2 -1.1702E-2 -2.0449E-2 
5.64494E-4 -3.7853E-2 -2.0667E-2 -2.9156E-2 
