    bottom        top       left      right 
1.00000000 1.00000000 1.00000000 1.00000000 

9.69156E-2 1.5407E-32 0.00000000 -3.081E-32 
1.37056E-1 1.8488E-32 0.00000000 -3.697E-32 
5.30460E-2 1.5407E-32 0.00000000 -2.465E-32 
-3.0233E-2 1.5407E-32 0.00000000 -1.848E-32 
-4.2873E-2 1.5407E-32 0.00000000 -2.465E-32 
-1.2659E-2 6.1629E-33 0.00000000 -3.081E-32 
9.95625E-4 1.8488E-32 0.00000000 -3.081E-32 
-1.2053E-2 1.8488E-32 0.00000000 -3.081E-32 
-3.2388E-2 1.8488E-32 0.00000000 -3.081E-32 
-4.8071E-2 1.8488E-32 0.00000000 -3.081E-32 
-5.4459E-2 1.8488E-32 0.00000000 -3.081E-32 
-5.1950E-2 1.8488E-32 0.00000000 -1.848E-32 
-4.2890E-2 1.5407E-32 0.00000000 -1.848E-32 
-3.0402E-2 1.5407E-32 0.00000000 -2.465E-32 
-1.8126E-2 1.5407E-32 0.00000000 -2.465E-32 
-7.8646E-3 0.00000000 0.00000000 -3.081E-32 
3.70228E-4 1.8488E-32 0.00000000 -3.081E-32 
7.26801E-3 1.2325E-32 0.00000000 -3.081E-32 
1.29205E-2 1.8488E-32 0.00000000 -3.081E-32 
1.71872E-2 1.8488E-32 0.00000000 -3.081E-32 
1.98664E-2 1.8488E-32 0.00000000 -3.081E-32 
2.05886E-2 1.8488E-32 0.00000000 -3.081E-32 
1.97327E-2 1.8488E-32 0.00000000 -2.465E-32 
1.78555E-2 3.0814E-33 0.00000000 -1.232E-32 
1.47728E-2 9.2444E-33 0.00000000 -1.848E-32 
1.06578E-2 1.8488E-32 0.00000000 -3.081E-32 
6.18741E-3 1.2325E-32 0.00000000 -3.081E-32 
1.84294E-3 1.8488E-32 0.00000000 -3.081E-32 
-2.0285E-3 1.8488E-32 0.00000000 -3.081E-32 
-4.9684E-3 1.8488E-32 0.00000000 -3.081E-32 
-7.0057E-3 1.8488E-32 0.00000000 -3.697E-32 
-8.3219E-3 1.8488E-32 0.00000000 -1.848E-32 
-8.8268E-3 1.8488E-32 0.00000000 -1.848E-32 
-8.6473E-3 1.8488E-32 0.00000000 -2.465E-32 
-7.9216E-3 1.5407E-32 0.00000000 -2.465E-32 
-6.6525E-3 1.8488E-32 0.00000000 -3.081E-32 
-4.8570E-3 1.8488E-32 0.00000000 -3.081E-32 
-2.8372E-3 1.8488E-32 0.00000000 -3.081E-32 
-9.1514E-4 1.8488E-32 0.00000000 -3.081E-32 
7.55215E-4 1.8488E-32 0.00000000 -3.081E-32 
2.09371E-3 1.8488E-32 0.00000000 -3.081E-32 
3.00665E-3 1.8488E-32 0.00000000 -3.081E-32 
3.50290E-3 1.8488E-32 0.00000000 -1.848E-32 
3.63268E-3 1.8488E-32 0.00000000 -2.465E-32 
3.52827E-3 3.0814E-33 0.00000000 -1.232E-32 
3.16572E-3 1.8488E-32 0.00000000 -3.081E-32 
2.53292E-3 1.2325E-32 0.00000000 -3.081E-32 
1.74902E-3 1.2325E-32 0.00000000 -3.081E-32 
9.44237E-4 1.8488E-32 0.00000000 -3.081E-32 
1.90487E-4 1.8488E-32 0.00000000 -3.081E-32 
