    bottom        top       left      right 
1.00000000 1.00000000 1.00000000 1.00000000 

1.58419E13 5.25150E15 6.21009E15 5.86739E15 
1.05297E13 2.59242E15 3.08180E15 2.91715E15 
7.89526E12 1.28061E15 1.51189E15 1.43348E15 
6.65350E12 6.29541E14 7.47801E14 7.07702E14 
6.81624E12 3.13508E14 3.64083E14 3.46616E14 
6.19902E12 1.53748E14 1.80075E14 1.71111E14 
5.63493E12 7.84079E13 8.81896E13 8.37992E13 
5.67890E12 4.07961E13 4.40008E13 4.27134E13 
5.92688E12 2.25495E13 2.23849E13 2.17944E13 
6.17366E12 1.42711E13 1.19607E13 1.23687E13 
6.26401E12 9.46478E12 6.99014E12 7.37001E12 
6.21547E12 8.02385E12 4.31269E12 5.13440E12 
6.07941E12 6.64732E12 3.63280E12 3.99708E12 
5.90808E12 6.58818E12 2.64651E12 3.22510E12 
5.74207E12 6.14604E12 2.79137E12 3.17373E12 
5.67872E12 6.26842E12 2.39283E12 2.87262E12 
5.66290E12 6.12861E12 2.38552E12 2.95702E12 
5.65580E12 6.12349E12 2.28457E12 2.88418E12 
5.64032E12 6.04439E12 2.27382E12 2.86414E12 
5.63832E12 6.02228E12 2.25018E12 2.82235E12 
5.63032E12 6.01041E12 2.23800E12 2.79198E12 
5.61963E12 6.00940E12 2.23249E12 2.75694E12 
5.61367E12 6.01448E12 2.24363E12 2.74651E12 
5.60433E12 6.01570E12 2.25532E12 2.74319E12 
5.59385E12 6.01707E12 2.27063E12 2.74949E12 
5.58153E12 6.02189E12 2.27887E12 2.77132E12 
5.57177E12 6.02808E12 2.26268E12 2.79113E12 
5.57543E12 6.03987E12 2.25046E12 2.81067E12 
5.59053E12 6.05110E12 2.25250E12 2.82364E12 
5.61637E12 6.07448E12 2.24637E12 2.83259E12 
5.62745E12 6.08492E12 2.24938E12 2.83601E12 
5.64073E12 6.09282E12 2.25199E12 2.83993E12 
5.64858E12 6.10506E12 2.25107E12 2.84033E12 
5.64486E12 6.11333E12 2.24905E12 2.83658E12 
5.63514E12 6.12164E12 2.24401E12 2.83132E12 
5.62339E12 6.12777E12 2.23518E12 2.83081E12 
5.61258E12 6.12994E12 2.22192E12 2.83065E12 
5.61012E12 6.12765E12 2.21078E12 2.82708E12 
5.61180E12 6.12407E12 2.20019E12 2.82291E12 
5.61041E12 6.11751E12 2.18511E12 2.81805E12 
5.60907E12 6.11137E12 2.17394E12 2.81251E12 
5.60567E12 6.10723E12 2.16616E12 2.80699E12 
5.60338E12 6.10633E12 2.16374E12 2.80339E12 
5.60047E12 6.10649E12 2.16246E12 2.80031E12 
5.59860E12 6.10678E12 2.16284E12 2.79948E12 
5.59605E12 6.10853E12 2.16394E12 2.79746E12 
5.59395E12 6.11109E12 2.16666E12 2.79724E12 
5.59247E12 6.11422E12 2.17179E12 2.79843E12 
5.59120E12 6.11706E12 2.17629E12 2.80112E12 
5.59180E12 6.12259E12 2.18274E12 2.80339E12 
