    bottom        top       left      right 
1.00000000 1.00000000 1.00000000 1.00000000 

3.11274E-8 5.51500E-7 -1.5439E-7 -1.5147E-7 
5.83373E-8 1.38793E-6 -1.9793E-7 -1.9195E-7 
8.16120E-8 2.18208E-6 -6.2099E-8 -5.3227E-8 
1.03130E-7 2.91174E-6 1.55097E-7 1.67144E-7 
1.24390E-7 3.60256E-6 4.07352E-7 4.22626E-7 
1.46316E-7 4.27913E-6 6.74443E-7 6.92869E-7 
1.68950E-7 4.95539E-6 9.47563E-7 9.69031E-7 
1.92342E-7 5.63875E-6 1.22300E-6 1.24738E-6 
2.16401E-7 6.33290E-6 1.49922E-6 1.52639E-6 
2.41060E-7 7.03929E-6 1.77554E-6 1.80539E-6 
2.66236E-7 7.75811E-6 2.05168E-6 2.08410E-6 
2.91866E-7 8.48889E-6 2.32751E-6 2.36243E-6 
3.17889E-7 9.23081E-6 2.60301E-6 2.64033E-6 
3.44257E-7 9.98291E-6 2.87818E-6 2.91783E-6 
3.70926E-7 1.07442E-5 3.15302E-6 3.19495E-6 
3.97858E-7 1.15137E-5 3.42757E-6 3.47171E-6 
4.25023E-7 1.22906E-5 3.70185E-6 3.74816E-6 
4.52391E-7 1.30740E-5 3.97588E-6 4.02433E-6 
4.79939E-7 1.38631E-5 4.24970E-6 4.30024E-6 
5.07645E-7 1.46574E-5 4.52333E-6 4.57593E-6 
5.35489E-7 1.54562E-5 4.79679E-6 4.85141E-6 
5.63457E-7 1.62590E-5 5.07010E-6 5.12672E-6 
5.91533E-7 1.70653E-5 5.34328E-6 5.40188E-6 
6.19703E-7 1.78747E-5 5.61633E-6 5.67690E-6 
6.47958E-7 1.86869E-5 5.88929E-6 5.95179E-6 
6.76287E-7 1.95015E-5 6.16215E-6 6.22658E-6 
7.04682E-7 2.03182E-5 6.43493E-6 6.50127E-6 
7.33134E-7 2.11368E-5 6.70764E-6 6.77588E-6 
7.61637E-7 2.19570E-5 6.98028E-6 7.05041E-6 
7.90184E-7 2.27787E-5 7.25287E-6 7.32488E-6 
8.18772E-7 2.36017E-5 7.52541E-6 7.59930E-6 
8.47394E-7 2.44259E-5 7.79791E-6 7.87366E-6 
8.76046E-7 2.52510E-5 8.07037E-6 8.14797E-6 
9.04726E-7 2.60771E-5 8.34279E-6 8.42225E-6 
9.33430E-7 2.69039E-5 8.61519E-6 8.69649E-6 
9.62155E-7 2.77314E-5 8.88755E-6 8.97071E-6 
9.90898E-7 2.85595E-5 9.15990E-6 9.24489E-6 
1.01965E-6 2.93881E-5 9.43223E-6 9.51905E-6 
1.04843E-6 3.02172E-5 9.70453E-6 9.79319E-6 
1.07721E-6 3.10468E-5 9.97682E-6 1.00673E-5 
1.10601E-6 3.18767E-5 1.02491E-5 1.03414E-5 
1.13482E-6 3.27069E-5 1.05213E-5 1.06155E-5 
1.16364E-6 3.35374E-5 1.07936E-5 1.08895E-5 
1.19246E-6 3.43681E-5 1.10658E-5 1.11636E-5 
1.22129E-6 3.51991E-5 1.13381E-5 1.14377E-5 
1.25013E-6 3.60303E-5 1.16103E-5 1.17117E-5 
1.27897E-6 3.68616E-5 1.18825E-5 1.19858E-5 
1.30782E-6 3.76931E-5 1.21547E-5 1.22598E-5 
1.33667E-6 3.85248E-5 1.24269E-5 1.25338E-5 
1.36553E-6 3.93565E-5 1.26991E-5 1.28078E-5 
