    bottom        top       left      right 
1.00000000 1.00000000 1.00000000 1.00000000 

6.24027E-2 1.5407E-32 0.00000000 -3.081E-32 
9.56653E-2 1.8488E-32 0.00000000 -3.697E-32 
8.02438E-2 1.5407E-32 0.00000000 -2.465E-32 
4.94966E-2 1.5407E-32 0.00000000 -1.848E-32 
1.67824E-2 1.5407E-32 0.00000000 -2.465E-32 
-1.2868E-2 6.1629E-33 0.00000000 -3.081E-32 
-3.8732E-2 1.8488E-32 0.00000000 -3.081E-32 
-6.1057E-2 1.8488E-32 0.00000000 -3.081E-32 
-8.0313E-2 1.8488E-32 0.00000000 -3.081E-32 
-9.6969E-2 1.8488E-32 0.00000000 -3.081E-32 
-1.1143E-1 1.8488E-32 0.00000000 -3.081E-32 
-1.2404E-1 1.8488E-32 0.00000000 -1.848E-32 
-1.3507E-1 1.5407E-32 0.00000000 -1.848E-32 
-1.4474E-1 1.5407E-32 0.00000000 -2.465E-32 
-1.5322E-1 1.5407E-32 0.00000000 -2.465E-32 
-1.6069E-1 0.00000000 0.00000000 -3.081E-32 
-1.6726E-1 1.8488E-32 0.00000000 -3.081E-32 
-1.7304E-1 1.2325E-32 0.00000000 -3.081E-32 
-1.7814E-1 1.8488E-32 0.00000000 -3.081E-32 
-1.8263E-1 1.8488E-32 0.00000000 -3.081E-32 
-1.8659E-1 1.8488E-32 0.00000000 -3.081E-32 
-1.9008E-1 1.8488E-32 0.00000000 -3.081E-32 
-1.9315E-1 1.8488E-32 0.00000000 -2.465E-32 
-1.9587E-1 3.0814E-33 0.00000000 -1.232E-32 
-1.9826E-1 9.2444E-33 0.00000000 -1.848E-32 
-2.0037E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.0223E-1 1.2325E-32 0.00000000 -3.081E-32 
-2.0387E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.0532E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.0659E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.0772E-1 1.8488E-32 0.00000000 -3.697E-32 
-2.0871E-1 1.8488E-32 0.00000000 -1.848E-32 
-2.0959E-1 1.8488E-32 0.00000000 -1.848E-32 
-2.1036E-1 1.8488E-32 0.00000000 -2.465E-32 
-2.1104E-1 1.5407E-32 0.00000000 -2.465E-32 
-2.1164E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.1217E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.1264E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.1305E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.1341E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.1373E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.1401E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.1426E-1 1.8488E-32 0.00000000 -1.848E-32 
-2.1448E-1 1.8488E-32 0.00000000 -2.465E-32 
-2.1467E-1 3.0814E-33 0.00000000 -1.232E-32 
-2.1484E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.1499E-1 1.2325E-32 0.00000000 -3.081E-32 
-2.1513E-1 1.2325E-32 0.00000000 -3.081E-32 
-2.1524E-1 1.8488E-32 0.00000000 -3.081E-32 
-2.1535E-1 1.8488E-32 0.00000000 -3.081E-32 
