    bottom        top       left      right 
1.00000000 1.00000000 1.00000000 1.00000000 

1.47757E13 5.25914E15 6.21210E15 5.86970E15 
1.34717E13 2.58033E15 3.08024E15 2.92514E15 
1.21520E13 1.29473E15 1.51165E15 1.42282E15 
1.17022E13 6.17930E14 7.55507E14 7.23424E14 
1.19426E13 3.25481E14 3.61438E14 3.34430E14 
1.17167E13 1.41633E14 1.95377E14 1.88226E14 
1.16121E13 9.18056E13 8.39258E13 7.19454E13 
1.14977E13 2.76463E13 6.29747E13 5.99117E13 
1.14292E13 3.62115E13 1.86444E13 1.04554E13 
1.13680E13 1.12356E13 3.25644E13 2.96586E13 
1.13215E13 2.31853E13 2.03574E13 1.61875E13 
1.12750E13 1.74298E13 2.59994E13 2.26237E13 
1.12575E13 2.01765E13 2.32639E13 1.95316E13 
1.12467E13 1.88671E13 2.45580E13 2.09895E13 
1.12379E13 1.94871E13 2.39378E13 2.02860E13 
1.12302E13 1.91936E13 2.42275E13 2.06077E13 
1.12242E13 1.93310E13 2.40885E13 2.04472E13 
1.12195E13 1.92662E13 2.41511E13 2.05144E13 
1.12164E13 1.92959E13 2.41198E13 2.04761E13 
1.12140E13 1.92817E13 2.41325E13 2.04877E13 
1.12122E13 1.92878E13 2.41250E13 2.04769E13 
1.12106E13 1.92847E13 2.41270E13 2.04771E13 
1.12092E13 1.92858E13 2.41249E13 2.04729E13 
1.12082E13 1.92850E13 2.41248E13 2.04712E13 
1.12073E13 1.92851E13 2.41239E13 2.04687E13 
1.12066E13 1.92849E13 2.41234E13 2.04670E13 
1.12059E13 1.92848E13 2.41229E13 2.04653E13 
1.12054E13 1.92847E13 2.41225E13 2.04639E13 
1.12048E13 1.92846E13 2.41221E13 2.04626E13 
1.12044E13 1.92845E13 2.41218E13 2.04615E13 
1.12040E13 1.92844E13 2.41215E13 2.04605E13 
1.12037E13 1.92843E13 2.41212E13 2.04596E13 
1.12034E13 1.92843E13 2.41210E13 2.04588E13 
1.12031E13 1.92842E13 2.41208E13 2.04582E13 
1.12028E13 1.92842E13 2.41206E13 2.04576E13 
1.12026E13 1.92841E13 2.41204E13 2.04570E13 
1.12024E13 1.92841E13 2.41203E13 2.04566E13 
1.12023E13 1.92841E13 2.41201E13 2.04561E13 
1.12021E13 1.92840E13 2.41200E13 2.04558E13 
1.12020E13 1.92840E13 2.41199E13 2.04554E13 
1.12019E13 1.92840E13 2.41198E13 2.04552E13 
1.12018E13 1.92840E13 2.41197E13 2.04549E13 
1.12017E13 1.92839E13 2.41197E13 2.04547E13 
1.12016E13 1.92839E13 2.41196E13 2.04545E13 
1.12015E13 1.92839E13 2.41195E13 2.04543E13 
1.12014E13 1.92839E13 2.41195E13 2.04541E13 
1.12014E13 1.92839E13 2.41194E13 2.04540E13 
1.12013E13 1.92839E13 2.41194E13 2.04539E13 
1.12013E13 1.92839E13 2.41193E13 2.04537E13 
1.12012E13 1.92838E13 2.41193E13 2.04536E13 
