    bottom        top       left      right 
1.00000000 1.00000000 1.00000000 1.00000000 

7.77391E-2 -2.0979377 -9.8194467 -9.7877004 
-5.3724E-2 -8.7382E-1 5.18391317 5.16169438 
4.58952E-3 -5.4077E-1 -4.9650110 -4.9616861 
-1.1224E-2 -2.4391E-1 2.59641948 2.59167983 
8.59379E-4 -1.5612E-1 -1.8681874 -1.8674350 
-2.3502E-3 -3.4193E-2 9.86495E-1 9.85521E-1 
2.78818E-4 -3.3350E-2 -6.1781E-1 -6.1760E-1 
-5.2492E-4 -9.6847E-3 3.25234E-1 3.25036E-1 
7.95947E-5 -7.8797E-3 -1.9307E-1 -1.9301E-1 
-1.2193E-4 -2.6420E-4 1.02488E-1 1.02455E-1 
1.99966E-5 -3.3721E-3 -5.8950E-2 -5.8931E-2 
-3.0777E-5 1.27094E-3 3.14256E-2 3.14268E-2 
3.03088E-6 -1.6648E-3 -1.7725E-2 -1.7715E-2 
-9.7129E-6 9.07720E-4 9.46999E-3 9.47694E-3 
-1.5928E-6 -7.6763E-4 -5.2785E-3 -5.2706E-3 
-4.7955E-6 4.55328E-4 2.81995E-3 2.82761E-3 
-2.8319E-6 -3.2577E-4 -1.5655E-3 -1.5579E-3 
-3.6357E-6 1.95387E-4 8.30328E-4 8.37914E-4 
-3.1594E-6 -1.2883E-4 -4.6575E-4 -4.5833E-4 
-3.3603E-6 7.63839E-5 2.39840E-4 2.47313E-4 
-3.2450E-6 -4.8538E-5 -1.4173E-4 -1.3434E-4 
-3.2948E-6 2.80750E-5 6.56395E-5 7.30550E-5 
-3.2671E-6 -1.7780E-5 -4.6534E-5 -3.9154E-5 
-3.2793E-6 9.74286E-6 1.43885E-5 2.17768E-5 
-3.2727E-6 -6.5298E-6 -1.8602E-5 -1.1228E-5 
-3.2757E-6 3.08719E-6 -6.8101E-7 6.69529E-6 
-3.2741E-6 -2.5336E-6 -1.0393E-5 -3.0230E-6 
-3.2748E-6 7.49082E-7 -5.1140E-6 2.25714E-6 
-3.2745E-6 -1.1550E-6 -7.9804E-6 -6.1148E-7 
-3.2746E-6 -5.2526E-8 -6.4201E-6 9.48830E-7 
-3.2746E-6 -6.8398E-7 -7.2661E-6 1.01941E-7 
-3.2746E-6 -3.3257E-7 -6.8124E-6 5.55524E-7 
-3.2746E-6 -5.1824E-7 -7.0492E-6 3.18385E-7 
-3.2746E-6 -4.1873E-7 -6.9245E-6 4.43050E-7 
-3.2746E-6 -4.7885E-7 -6.9944E-6 3.72986E-7 
-3.2746E-6 -4.4586E-7 -6.9570E-6 4.10367E-7 
-3.2746E-6 -4.6573E-7 -6.9781E-6 3.89191E-7 
-3.2746E-6 -4.4302E-7 -6.9592E-6 4.08102E-7 
-3.2746E-6 -4.6938E-7 -6.9783E-6 3.88922E-7 
-3.2746E-6 -4.4109E-7 -6.9590E-6 4.08218E-7 
-3.2746E-6 -4.6837E-7 -6.9770E-6 3.90147E-7 
-3.2746E-6 -4.5530E-7 -6.9684E-6 3.98788E-7 
-3.2746E-6 -4.5520E-7 -6.9683E-6 3.98852E-7 
-3.2746E-6 -4.5509E-7 -6.9683E-6 3.98914E-7 
-3.2746E-6 -4.5500E-7 -6.9682E-6 3.98968E-7 
-3.2746E-6 -4.5491E-7 -6.9682E-6 3.99023E-7 
-3.2746E-6 -4.5481E-7 -6.9681E-6 3.99089E-7 
-3.2746E-6 -4.5471E-7 -6.9680E-6 3.99145E-7 
-3.2746E-6 -4.5457E-7 -6.9680E-6 3.99231E-7 
-3.2746E-6 -4.5444E-7 -6.9679E-6 3.99302E-7 
