    bottom        top       left      right 
1.00000000 1.00000000 1.00000000 1.00000000 

1.80868E13 5.22713E15 6.21273E15 5.86502E15 
1.10687E13 2.58438E15 3.06963E15 2.90227E15 
8.40593E12 1.27535E15 1.51380E15 1.42806E15 
6.51220E12 6.28187E14 7.42902E14 7.02262E14 
6.22608E12 3.10383E14 3.64780E14 3.44424E14 
5.73149E12 1.54305E14 1.78616E14 1.69293E14 
5.66966E12 7.80567E13 8.79432E13 8.35757E13 
5.61118E12 4.09799E13 4.35686E13 4.18771E13 
5.59479E12 2.28547E13 2.21145E13 2.16127E13 
5.59940E12 1.42289E13 1.16581E13 1.18055E13 
5.59815E12 9.90750E12 6.65932E12 7.08230E12 
5.59935E12 7.99570E12 4.21428E12 4.80028E12 
5.59940E12 6.92333E12 3.09466E12 3.72130E12 
5.59950E12 6.56529E12 2.52411E12 3.20548E12 
5.59959E12 6.26633E12 2.31089E12 2.97026E12 
5.59958E12 6.26170E12 2.20171E12 2.85724E12 
5.59961E12 6.19455E12 2.18109E12 2.83042E12 
5.59961E12 6.21362E12 2.17747E12 2.81168E12 
5.59961E12 6.20209E12 2.17582E12 2.81129E12 
5.59961E12 6.20652E12 2.17597E12 2.80781E12 
5.59961E12 6.20432E12 2.17581E12 2.80917E12 
5.59961E12 6.20530E12 2.17586E12 2.80850E12 
5.59961E12 6.20486E12 2.17584E12 2.80880E12 
5.59961E12 6.20506E12 2.17584E12 2.80867E12 
5.59961E12 6.20497E12 2.17584E12 2.80873E12 
5.59961E12 6.20501E12 2.17584E12 2.80870E12 
5.59961E12 6.20499E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
5.59961E12 6.20500E12 2.17584E12 2.80871E12 
