lumen_inlet lumen_outlet lumen_wall 
1.232520E1 1.234882E1 3.755186E2 

3.913453E2 6.967053E1 2.318128E2 
-1.85615E2 3.758846E1 -7.60961E1 
4.396870E2 1.154232E2 2.797385E2 
1.609862E2 1.362704E2 1.465786E2 
4.755261E2 2.194377E2 3.490236E2 
4.872280E2 2.908611E2 3.878380E2 
6.815789E2 3.988938E2 5.409565E2 
8.174233E2 5.173352E2 6.668129E2 
1.012850E3 6.639295E2 8.386306E2 
1.214098E3 8.308975E2 1.022237E3 
1.448990E3 1.024878E3 1.236967E3 
1.705700E3 1.244304E3 1.474860E3 
1.992246E3 1.492067E3 1.742116E3 
2.306162E3 1.768493E3 2.037233E3 
2.650525E3 2.075210E3 2.362811E3 
3.025285E3 2.413029E3 2.719090E3 
3.431994E3 2.783100E3 3.107501E3 
3.871233E3 3.186286E3 3.528722E3 
4.343998E3 3.623498E3 3.983732E3 
4.850965E3 4.095518E3 4.473245E3 
5.392875E3 4.603092E3 4.998013E3 
5.970333E3 5.146882E3 5.558665E3 
6.583914E3 5.727491E3 6.155794E3 
7.234108E3 6.345450E3 6.789908E3 
7.921349E3 7.001227E3 7.461458E3 
8.645999E3 7.695219E3 8.170826E3 
9.408360E3 8.427762E3 8.918328E3 
1.020866E4 9.199122E3 9.704216E3 
1.104708E4 1.000950E4 1.052867E4 
1.192373E4 1.085904E4 1.139183E4 
1.283864E4 1.174781E4 1.229374E4 
1.379180E4 1.267582E4 1.323440E4 
1.478313E4 1.364302E4 1.421374E4 
1.581249E4 1.464930E4 1.523164E4 
1.687967E4 1.569448E4 1.628791E4 
1.798443E4 1.677832E4 1.738230E4 
1.912643E4 1.790053E4 1.851450E4 
2.030530E4 1.906075E4 1.968415E4 
2.152062E4 2.025857E4 2.089082E4 
2.277188E4 2.149352E4 2.213403E4 
2.405856E4 2.276507E4 2.341325E4 
2.538004E4 2.407264E4 2.472790E4 
2.673568E4 2.541561E4 2.607731E4 
2.812479E4 2.679327E4 2.746081E4 
2.954660E4 2.820489E4 2.887765E4 
3.100032E4 2.964969E4 3.032703E4 
3.248509E4 3.112682E4 3.180811E4 
3.400003E4 3.263539E4 3.332000E4 
3.554420E4 3.417449E4 3.486175E4 
3.711661E4 3.574311E4 3.643240E4 
3.871623E4 3.734026E4 3.803091E4 
4.034200E4 3.896485E4 3.965621E4 
4.199281E4 4.061579E4 4.130721E4 
4.366751E4 4.229193E4 4.298276E4 
4.536493E4 4.399209E4 4.468167E4 
4.708384E4 4.571504E4 4.640273E4 
4.882300E4 4.745954E4 4.814468E4 
5.058111E4 4.922430E4 4.990623E4 
5.235688E4 5.100799E4 5.168607E4 
5.414895E4 5.280927E4 5.348286E4 
5.595596E4 5.462676E4 5.529522E4 
5.777651E4 5.645905E4 5.712174E4 
5.960919E4 5.830472E4 5.896101E4 
6.145255E4 6.016231E4 6.081158E4 
6.330513E4 6.203034E4 6.267197E4 
6.516544E4 6.390733E4 6.454071E4 
6.703201E4 6.579175E4 6.641628E4 
6.890330E4 6.768208E4 6.829716E4 
7.077779E4 6.957677E4 7.018181E4 
7.265395E4 7.147427E4 7.206869E4 
7.453023E4 7.337300E4 7.395625E4 
7.640507E4 7.527138E4 7.584290E4 
7.827691E4 7.716784E4 7.772708E4 
8.014417E4 7.906078E4 7.960720E4 
8.200530E4 8.094860E4 8.148169E4 
8.385871E4 8.282970E4 8.334895E4 
8.570284E4 8.470248E4 8.520741E4 
8.753611E4 8.656536E4 8.705547E4 
8.935696E4 8.841672E4 8.889156E4 
9.116384E4 9.025499E4 9.071411E4 
9.295518E4 9.207857E4 9.252153E4 
9.472944E4 9.388590E4 9.431228E4 
9.648510E4 9.567540E4 9.608481E4 
9.822062E4 9.744553E4 9.783758E4 
9.993452E4 9.919475E4 9.956906E4 
1.016252E5 1.009215E5 1.012777E5 
1.032914E5 1.026243E5 1.029621E5 
1.049315E5 1.043017E5 1.046208E5 
1.065442E5 1.059521E5 1.062522E5 
1.081279E5 1.075743E5 1.078550E5 
1.096813E5 1.091666E5 1.094278E5 
1.112031E5 1.107277E5 1.109691E5 
1.126920E5 1.122563E5 1.124777E5 
1.141465E5 1.137510E5 1.139521E5 
1.155654E5 1.152104E5 1.153912E5 
1.169476E5 1.166333E5 1.167936E5 
1.182917E5 1.180185E5 1.181580E5 
1.195966E5 1.193647E5 1.194834E5 
1.208611E5 1.206706E5 1.207685E5 
1.220842E5 1.219353E5 1.220122E5 
1.232647E5 1.231575E5 1.232133E5 
1.244016E5 1.243362E5 1.243709E5 
1.254939E5 1.254703E5 1.254840E5 
1.265407E5 1.265589E5 1.265515E5 
1.275410E5 1.276009E5 1.275725E5 
1.284941E5 1.285956E5 1.285461E5 
1.293989E5 1.295419E5 1.294715E5 
1.302549E5 1.304391E5 1.303479E5 
1.310611E5 1.312864E5 1.311744E5 
1.318170E5 1.320831E5 1.319505E5 
1.325219E5 1.328285E5 1.326755E5 
