lumen_inlet lumen_outlet lumen_wall 
1.232520E1 1.234882E1 3.755186E2 

5.10066E-4 9.17204E-4 2.41737E-3 
7.93231E-4 7.85132E-4 2.44352E-3 
1.13877E-3 1.32927E-3 3.64304E-3 
1.66858E-3 1.82397E-3 5.37401E-3 
2.35484E-3 2.59301E-3 7.40319E-3 
3.19161E-3 3.47650E-3 9.99530E-3 
4.19817E-3 4.54843E-3 1.29736E-2 
5.36442E-3 5.76915E-3 1.64010E-2 
6.69785E-3 7.15781E-3 2.02448E-2 
8.19674E-3 8.70268E-3 2.44998E-2 
9.86216E-3 1.04077E-2 2.91585E-2 
1.16940E-2 1.22685E-2 3.42101E-2 
1.36919E-2 1.42845E-2 3.96466E-2 
1.58553E-2 1.64526E-2 4.54584E-2 
1.81831E-2 1.87707E-2 5.16364E-2 
2.06742E-2 2.12359E-2 5.81711E-2 
2.33271E-2 2.38456E-2 6.50529E-2 
2.61401E-2 2.65966E-2 7.22720E-2 
2.91114E-2 2.94861E-2 7.98186E-2 
3.22388E-2 3.25107E-2 8.76823E-2 
3.55199E-2 3.56671E-2 9.58530E-2 
3.89523E-2 3.89521E-2 1.04320E-1 
4.25333E-2 4.23621E-2 1.13073E-1 
4.62598E-2 4.58936E-2 1.22100E-1 
5.01289E-2 4.95429E-2 1.31392E-1 
5.41373E-2 5.33063E-2 1.40936E-1 
5.82815E-2 5.71800E-2 1.50722E-1 
6.25579E-2 6.11603E-2 1.60738E-1 
6.69627E-2 6.52431E-2 1.70972E-1 
7.14921E-2 6.94247E-2 1.81412E-1 
7.61419E-2 7.37010E-2 1.92046E-1 
8.09078E-2 7.80681E-2 2.02863E-1 
8.57855E-2 8.25219E-2 2.13850E-1 
9.07705E-2 8.70585E-2 2.24995E-1 
9.58580E-2 9.16739E-2 2.36286E-1 
1.01043E-1 9.63640E-2 2.47709E-1 
1.06321E-1 1.01124E-1 2.59253E-1 
1.11686E-1 1.05952E-1 2.70905E-1 
1.17135E-1 1.10843E-1 2.82652E-1 
1.22660E-1 1.15792E-1 2.94481E-1 
1.28257E-1 1.20797E-1 3.06379E-1 
1.33920E-1 1.25853E-1 3.18335E-1 
1.39644E-1 1.30956E-1 3.30334E-1 
1.45423E-1 1.36103E-1 3.42364E-1 
1.51251E-1 1.41289E-1 3.54413E-1 
1.57122E-1 1.46510E-1 3.66467E-1 
1.63030E-1 1.51761E-1 3.78514E-1 
1.68969E-1 1.57039E-1 3.90541E-1 
1.74933E-1 1.62338E-1 4.02535E-1 
1.80916E-1 1.67654E-1 4.14483E-1 
1.86912E-1 1.72982E-1 4.26374E-1 
1.92915E-1 1.78318E-1 4.38194E-1 
1.98917E-1 1.83658E-1 4.49932E-1 
2.04914E-1 1.88997E-1 4.61575E-1 
2.10899E-1 1.94330E-1 4.73111E-1 
2.16865E-1 1.99654E-1 4.84528E-1 
2.22807E-1 2.04964E-1 4.95815E-1 
2.28717E-1 2.10256E-1 5.06959E-1 
2.34591E-1 2.15527E-1 5.17950E-1 
2.40421E-1 2.20770E-1 5.28776E-1 
2.46202E-1 2.25984E-1 5.39425E-1 
2.51928E-1 2.31163E-1 5.49888E-1 
2.57593E-1 2.36303E-1 5.60154E-1 
2.63190E-1 2.41399E-1 5.70211E-1 
2.68715E-1 2.46448E-1 5.80051E-1 
2.74160E-1 2.51445E-1 5.89662E-1 
2.79521E-1 2.56386E-1 5.99037E-1 
2.84793E-1 2.61267E-1 6.08164E-1 
2.89969E-1 2.66082E-1 6.17035E-1 
2.95044E-1 2.70829E-1 6.25641E-1 
3.00014E-1 2.75502E-1 6.33974E-1 
3.04872E-1 2.80098E-1 6.42026E-1 
3.09615E-1 2.84613E-1 6.49787E-1 
3.14237E-1 2.89041E-1 6.57252E-1 
3.18733E-1 2.93380E-1 6.64412E-1 
3.23100E-1 2.97626E-1 6.71260E-1 
3.27332E-1 3.01774E-1 6.77791E-1 
3.31427E-1 3.05821E-1 6.83996E-1 
3.35378E-1 3.09763E-1 6.89871E-1 
3.39183E-1 3.13596E-1 6.95410E-1 
3.42838E-1 3.17316E-1 7.00607E-1 
3.46340E-1 3.20921E-1 7.05458E-1 
3.49684E-1 3.24407E-1 7.09957E-1 
3.52868E-1 3.27770E-1 7.14101E-1 
3.55889E-1 3.31008E-1 7.17885E-1 
3.58743E-1 3.34116E-1 7.21306E-1 
3.61428E-1 3.37091E-1 7.24360E-1 
3.63942E-1 3.39931E-1 7.27046E-1 
3.66282E-1 3.42633E-1 7.29359E-1 
3.68446E-1 3.45193E-1 7.31298E-1 
3.70432E-1 3.47608E-1 7.32862E-1 
3.72238E-1 3.49876E-1 7.34048E-1 
3.73862E-1 3.51995E-1 7.34855E-1 
3.75304E-1 3.53961E-1 7.35284E-1 
3.76562E-1 3.55773E-1 7.35333E-1 
3.77634E-1 3.57428E-1 7.35003E-1 
3.78520E-1 3.58924E-1 7.34294E-1 
3.79220E-1 3.60259E-1 7.33206E-1 
