      left      right     bottom        top 
1.00000000 1.00000000 1.00000000 1.00000000 

-1.0186E-1 1.07209E-1 7.47635E-4 1.72607E-3 
6.45418E-3 2.40941E-3 1.31428E-4 2.37469E-3 
-4.0055E-2 5.02374E-2 6.35116E-4 3.38943E-3 
-1.3506E-2 2.55963E-2 5.02467E-4 3.86099E-3 
-1.9753E-2 3.29211E-2 5.89364E-4 4.43040E-3 
-1.5762E-2 3.01510E-2 5.95762E-4 4.87461E-3 
-1.4145E-2 2.94587E-2 6.22327E-4 5.30114E-3 
-1.3831E-2 3.01060E-2 6.76717E-4 5.71704E-3 
-1.1999E-2 2.90960E-2 7.25202E-4 6.10313E-3 
-1.1800E-2 2.97173E-2 8.04754E-4 6.49353E-3 
-1.0608E-2 2.92620E-2 8.79419E-4 6.86010E-3 
-1.0252E-2 2.95979E-2 9.61757E-4 7.21495E-3 
-9.4862E-3 2.94920E-2 1.05632E-3 7.56638E-3 
-9.0588E-3 2.97133E-2 1.17059E-3 7.92245E-3 
-8.5012E-3 2.97814E-2 1.29646E-3 8.27698E-3 
-8.0826E-3 2.99702E-2 1.43465E-3 8.63149E-3 
-7.6346E-3 3.01151E-2 1.58528E-3 8.98721E-3 
-7.2410E-3 3.03114E-2 1.75281E-3 9.34934E-3 
-6.8512E-3 3.04978E-2 1.93042E-3 9.71181E-3 
-6.4995E-3 3.06949E-2 2.11013E-3 1.00672E-2 
-6.1669E-3 3.08843E-2 2.29109E-3 1.04153E-2 
-5.8679E-3 3.10669E-2 2.46551E-3 1.07488E-2 
-5.5949E-3 3.12372E-2 2.63336E-3 1.10681E-2 
-5.3543E-3 3.13920E-2 2.78890E-3 1.13678E-2 
-5.1467E-3 3.15258E-2 2.92827E-3 1.16445E-2 
-4.9739E-3 3.16365E-2 3.04851E-3 1.18957E-2 
-4.8284E-3 3.17295E-2 3.15530E-3 1.21272E-2 
-4.7107E-3 3.18034E-2 3.24688E-3 1.23376E-2 
-4.6183E-3 3.18594E-2 3.32427E-3 1.25283E-2 
-4.5487E-3 3.18989E-2 3.38866E-3 1.27008E-2 
-4.4981E-3 3.19252E-2 3.44290E-3 1.28580E-2 
-4.4654E-3 3.19383E-2 3.48680E-3 1.30001E-2 
-4.4457E-3 3.19427E-2 3.52443E-3 1.31315E-2 
-4.4381E-3 3.19387E-2 3.55578E-3 1.32522E-2 
-4.4381E-3 3.19302E-2 3.58443E-3 1.33662E-2 
-4.4440E-3 3.19184E-2 3.61133E-3 1.34746E-2 
-4.4544E-3 3.19044E-2 3.63724E-3 1.35783E-2 
-4.4674E-3 3.18897E-2 3.66340E-3 1.36788E-2 
-4.4834E-3 3.18736E-2 3.68881E-3 1.37752E-2 
-4.4991E-3 3.18593E-2 3.71642E-3 1.38707E-2 
-4.5165E-3 3.18442E-2 3.74356E-3 1.39627E-2 
-4.5355E-3 3.18284E-2 3.77017E-3 1.40515E-2 
-4.5546E-3 3.18133E-2 3.79735E-3 1.41382E-2 
-4.5746E-3 3.17978E-2 3.82395E-3 1.42218E-2 
-4.5975E-3 3.17798E-2 3.84781E-3 1.43003E-2 
-4.6213E-3 3.17611E-2 3.87067E-3 1.43756E-2 
-4.6463E-3 3.17416E-2 3.89212E-3 1.44475E-2 
-4.6738E-3 3.17196E-2 3.91075E-3 1.45145E-2 
-4.7024E-3 3.16967E-2 3.92783E-3 1.45782E-2 
-4.7328E-3 3.16719E-2 3.94250E-3 1.46377E-2 
-4.7647E-3 3.16457E-2 3.95504E-3 1.46935E-2 
-4.7982E-3 3.16178E-2 3.96537E-3 1.47456E-2 
-4.8323E-3 3.15891E-2 3.97426E-3 1.47948E-2 
-4.8674E-3 3.15595E-2 3.98150E-3 1.48410E-2 
-4.9053E-3 3.15269E-2 3.98517E-3 1.48823E-2 
-4.9426E-3 3.14947E-2 3.98858E-3 1.49222E-2 
-4.9810E-3 3.14614E-2 3.99016E-3 1.49592E-2 
-5.0201E-3 3.14272E-2 3.99022E-3 1.49936E-2 
-5.0589E-3 3.13931E-2 3.98977E-3 1.50264E-2 
-5.0986E-3 3.13580E-2 3.98773E-3 1.50568E-2 
-5.1384E-3 3.13226E-2 3.98471E-3 1.50852E-2 
-5.1787E-3 3.12866E-2 3.98046E-3 1.51116E-2 
-5.2187E-3 3.12507E-2 3.97573E-3 1.51367E-2 
-5.2570E-3 3.12163E-2 3.97194E-3 1.51620E-2 
-5.2934E-3 3.11838E-2 3.96939E-3 1.51877E-2 
-5.3288E-3 3.11519E-2 3.96704E-3 1.52130E-2 
-5.3626E-3 3.11216E-2 3.96560E-3 1.52386E-2 
-5.3947E-3 3.10928E-2 3.96521E-3 1.52645E-2 
-5.4252E-3 3.10654E-2 3.96571E-3 1.52907E-2 
-5.4542E-3 3.10394E-2 3.96706E-3 1.53172E-2 
-5.4823E-3 3.10141E-2 3.96873E-3 1.53435E-2 
-5.5090E-3 3.09901E-2 3.97111E-3 1.53699E-2 
-5.5345E-3 3.09671E-2 3.97407E-3 1.53964E-2 
-5.5579E-3 3.09461E-2 3.97861E-3 1.54240E-2 
-5.5790E-3 3.09272E-2 3.98485E-3 1.54528E-2 
-5.5988E-3 3.09095E-2 3.99185E-3 1.54819E-2 
-5.6169E-3 3.08932E-2 3.99992E-3 1.55116E-2 
-5.6346E-3 3.08773E-2 4.00793E-3 1.55409E-2 
-5.6517E-3 3.08618E-2 4.01603E-3 1.55699E-2 
-5.6681E-3 3.08469E-2 4.02437E-3 1.55986E-2 
