      left      right     bottom        top 
1.00000000 1.00000000 1.00000000 1.00000000 

2.81364E-3 3.25296E-3 1.61400E-4 6.86463E-2 
2.86534E-3 4.15281E-3 1.78395E-4 5.93342E-2 
2.71601E-3 4.54293E-3 1.73930E-4 5.82933E-2 
2.83373E-3 5.11944E-3 1.87121E-4 4.75482E-2 
2.75329E-3 5.47436E-3 1.85524E-4 4.69355E-2 
2.76348E-3 5.86441E-3 1.89313E-4 4.33214E-2 
2.73116E-3 6.18648E-3 1.89500E-4 4.19101E-2 
2.71616E-3 6.49654E-3 1.90387E-4 4.03616E-2 
2.69526E-3 6.77870E-3 1.90431E-4 3.92668E-2 
2.67779E-3 7.04421E-3 1.90392E-4 3.83581E-2 
2.66050E-3 7.29250E-3 1.90090E-4 3.76099E-2 
2.64460E-3 7.52663E-3 1.89677E-4 3.69976E-2 
2.62966E-3 7.74770E-3 1.89163E-4 3.64802E-2 
2.61578E-3 7.95713E-3 1.88600E-4 3.60474E-2 
2.60287E-3 8.15587E-3 1.88016E-4 3.56794E-2 
2.59090E-3 8.34482E-3 1.87441E-4 3.53667E-2 
2.57981E-3 8.52469E-3 1.86898E-4 3.50994E-2 
2.56957E-3 8.69612E-3 1.86409E-4 3.48704E-2 
2.56013E-3 8.85965E-3 1.85991E-4 3.46739E-2 
2.55144E-3 9.01575E-3 1.85659E-4 3.45050E-2 
2.54347E-3 9.16485E-3 1.85427E-4 3.43597E-2 
2.53617E-3 9.30734E-3 1.85306E-4 3.42347E-2 
2.52952E-3 9.44355E-3 1.85305E-4 3.41272E-2 
2.52348E-3 9.57382E-3 1.85431E-4 3.40349E-2 
2.51802E-3 9.69844E-3 1.85687E-4 3.39557E-2 
2.51311E-3 9.81767E-3 1.86078E-4 3.38880E-2 
2.50872E-3 9.93178E-3 1.86605E-4 3.38302E-2 
2.50483E-3 1.00410E-2 1.87267E-4 3.37810E-2 
2.50140E-3 1.01456E-2 1.88064E-4 3.37394E-2 
2.49843E-3 1.02457E-2 1.88992E-4 3.37044E-2 
2.49587E-3 1.03416E-2 1.90047E-4 3.36751E-2 
2.49372E-3 1.04335E-2 1.91224E-4 3.36507E-2 
2.49195E-3 1.05216E-2 1.92516E-4 3.36306E-2 
2.49053E-3 1.06061E-2 1.93918E-4 3.36143E-2 
2.48945E-3 1.06870E-2 1.95420E-4 3.36012E-2 
2.48869E-3 1.07647E-2 1.97015E-4 3.35908E-2 
2.48823E-3 1.08392E-2 1.98695E-4 3.35828E-2 
2.48805E-3 1.09107E-2 2.00450E-4 3.35768E-2 
2.48813E-3 1.09794E-2 2.02273E-4 3.35724E-2 
2.48847E-3 1.10454E-2 2.04155E-4 3.35695E-2 
2.48904E-3 1.11089E-2 2.06086E-4 3.35678E-2 
2.48983E-3 1.11699E-2 2.08059E-4 3.35670E-2 
2.49083E-3 1.12287E-2 2.10065E-4 3.35670E-2 
2.49203E-3 1.12853E-2 2.12097E-4 3.35676E-2 
2.49340E-3 1.13398E-2 2.14148E-4 3.35688E-2 
2.49495E-3 1.13924E-2 2.16210E-4 3.35703E-2 
2.49666E-3 1.14432E-2 2.18278E-4 3.35721E-2 
2.49852E-3 1.14923E-2 2.20344E-4 3.35742E-2 
2.50053E-3 1.15397E-2 2.22404E-4 3.35764E-2 
2.50267E-3 1.15857E-2 2.24453E-4 3.35787E-2 
2.50494E-3 1.16302E-2 2.26485E-4 3.35811E-2 
2.50733E-3 1.16734E-2 2.28496E-4 3.35835E-2 
2.50983E-3 1.17153E-2 2.30483E-4 3.35859E-2 
2.51245E-3 1.17560E-2 2.32442E-4 3.35882E-2 
2.51516E-3 1.17956E-2 2.34372E-4 3.35906E-2 
2.51797E-3 1.18341E-2 2.36267E-4 3.35929E-2 
2.52088E-3 1.18717E-2 2.38126E-4 3.35951E-2 
2.52387E-3 1.19083E-2 2.39947E-4 3.35973E-2 
2.52695E-3 1.19440E-2 2.41727E-4 3.35994E-2 
2.53010E-3 1.19789E-2 2.43465E-4 3.36014E-2 
2.53333E-3 1.20130E-2 2.45159E-4 3.36034E-2 
2.53664E-3 1.20463E-2 2.46808E-4 3.36052E-2 
2.54001E-3 1.20789E-2 2.48412E-4 3.36070E-2 
2.54345E-3 1.21108E-2 2.49970E-4 3.36086E-2 
2.54695E-3 1.21421E-2 2.51482E-4 3.36102E-2 
2.55051E-3 1.21727E-2 2.52945E-4 3.36117E-2 
2.55412E-3 1.22027E-2 2.54361E-4 3.36131E-2 
2.55779E-3 1.22322E-2 2.55727E-4 3.36144E-2 
2.56151E-3 1.22612E-2 2.57045E-4 3.36156E-2 
2.56528E-3 1.22896E-2 2.58314E-4 3.36167E-2 
2.56910E-3 1.23175E-2 2.59536E-4 3.36177E-2 
2.57296E-3 1.23449E-2 2.60712E-4 3.36187E-2 
2.57686E-3 1.23719E-2 2.61839E-4 3.36195E-2 
2.58081E-3 1.23984E-2 2.62918E-4 3.36202E-2 
2.58479E-3 1.24246E-2 2.63949E-4 3.36209E-2 
2.58881E-3 1.24506E-2 2.64932E-4 3.36215E-2 
2.59286E-3 1.24762E-2 2.65869E-4 3.36219E-2 
2.59695E-3 1.25014E-2 2.66765E-4 3.36223E-2 
2.60107E-3 1.25268E-2 2.67615E-4 3.36226E-2 
2.60522E-3 1.25517E-2 2.68419E-4 3.36228E-2 
2.60940E-3 1.25762E-2 2.69179E-4 3.36230E-2 
2.61361E-3 1.26002E-2 2.69895E-4 3.36230E-2 
