
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                  (svFSI v8)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 02-23-2019

 Running in parallel with 24 tasks
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Make sure nodes in elements are arranged 1-4 on
      one face and 5-8 on the opposite face
 Number of available faces: 6
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/X0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/X1sym.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Y0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Y1sym.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Z0.vtp>
 <VTK XML Parser> Loading file <../../mesh/Q1_h0.05/mesh-surfaces/Z1.vtp>
 Number of nodes: 18786
 Number of elements: 15000
 Loading fiber directions
 Mesh data imported successfully
 Domain size X: 0.000000 1.500000
 Domain size Y: 0.000000 2.500E-1
 Domain size Z: 0.000000 5.000000
 Number of equations: 1
 Using preconditioner: Trilinos-ILUT
 Number of imposed BC for equation <vms_struct>: 5
 Configuration is completed successfully
 ParMETIS partitioned the mesh by cutting 2773 elements
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 465966
 Initializing state variables to zero
 Volume of domain 1.874999
 Area of face <X0> is 1.249999
 Area of face <X1s> is 1.250000
 Area of face <Y0> is 7.500000
 Area of face <Y1s> is 7.500000
 Area of face <Z0> is 3.749E-1
 Area of face <Z1> is 3.749E-1

----------------------------------------------------------
Eq     N-i     T      dB   Ri/R0    R/Ri     lsIt  dB  %t
----------------------------------------------------------
 New time step size: 1.000E-4
ST     1-1  1.2400  [   0 1.00000 7.72E-7]  [  55  -3  85]
ST     1-2  2.4229  [ -53 2.08E-3 8.98E-7]  [  55  -4  87]
ST     1-3  3.1769  [-133 2.07E-7 8.91E-7]  [  51 -139  79]
ST     2-1  4.3669  [   0 7.50E-1 9.74E-7]  [  57  -7  87]
ST     2-2  5.5979  [ -44 4.59E-3 9.68E-7]  [  59 -13  87]
ST     2-3  6.7770  [-113 1.53E-6 8.51E-7]  [  56  -5  87]
ST     2-4  7.9739  [-231 1.9E-12 7.62E-7]  [  61 -19  87]
ST     3-1  9.1549  [   0 8.32E-1 8.17E-7]  [  57  -8  87]
ST     3-2  1.03E1  [ -38 9.40E-3 8.13E-7]  [  61 -16  87]
ST     3-3  1.15E1  [-104 4.79E-6 7.85E-7]  [  56  -5  87]
ST     3-4  1.27E1  [-215 1.3E-11 8.99E-7]  [  58 -11  87]
ST     4-1  1.39E1  [   0 8.22E-1 8.09E-7]  [  59 -13  87]
ST     4-2  1.51E1  [ -33 1.64E-2 9.34E-7]  [  60 -15  87]
ST     4-3  1.62E1  [ -98 9.76E-6 9.17E-7]  [  56  -5  87]
ST     4-4  1.74E1  [-203 5.4E-11 8.10E-7]  [  57  -9  87]
ST     5-1  1.86E1  [   0 8.21E-1 8.55E-7]  [  60 -15  87]
ST     5-2  1.98E1  [ -30 2.48E-2 8.57E-7]  [  60 -15  87]
ST     5-3  2.10E1  [ -95 1.34E-5 8.03E-7]  [  57  -8  87]
ST     5-4  2.18E1  [-199 8.7E-11 8.94E-7]  [  51 -139  79]
ST     6-1  2.30E1  [   0 8.27E-1 8.34E-7]  [  60 -17  87]
ST     6-2  2.42E1  [ -27 3.33E-2 6.58E-7]  [  61 -18  87]
ST     6-3  2.55E1  [ -94 1.56E-5 9.35E-7]  [  59 -10  75]
ST     6-4  2.67E1  [-200 7.4E-11 9.12E-7]  [  59 -11  87]
ST     7-1  2.79E1  [   0 8.25E-1 7.96E-7]  [  61 -18  87]
ST     7-2  2.91E1  [ -26 4.10E-2 6.75E-7]  [  61 -18  87]
ST     7-3  3.03E1  [ -93 1.76E-5 7.21E-7]  [  61 -15  87]
ST     7-4  3.15E1  [-204 4.8E-11 8.77E-7]  [  59 -13  87]
ST     8-1  3.27E1  [   0 8.22E-1 9.95E-7]  [  60 -15  87]
ST     8-2  3.39E1  [ -24 4.78E-2 8.34E-7]  [  60 -15  87]
ST     8-3  3.51E1  [ -92 1.94E-5 8.28E-7]  [  61 -15  87]
ST     8-4  3.63E1  [-207 3.4E-11 7.83E-7]  [  60 -17  87]
ST     9-1  3.75E1  [   0 8.19E-1 9.73E-7]  [  61 -16  87]
ST     9-2  3.87E1  [ -23 5.46E-2 8.89E-7]  [  61 -15  87]
ST     9-3  3.99E1  [ -91 2.09E-5 9.12E-7]  [  61 -15  87]
ST     9-4  4.11E1  [-209 2.7E-11 9.43E-7]  [  62 -20  87]
ST    10-1  4.23E1  [   0 8.17E-1 8.71E-7]  [  62 -19  87]
ST    10-2  4.35E1  [ -22 6.34E-2 7.27E-7]  [  62 -19  87]
ST    10-3  4.47E1  [ -90 2.42E-5 8.29E-7]  [  61 -15  87]
ST    10-4s 4.59E1  [-211 2.2E-11 7.97E-7]  [  64 -25  87]
ST    11-1  4.80E1  [   0 8.19E-1 8.47E-7]  [  63 -22  48]
ST    11-2  4.92E1  [ -20 7.59E-2 8.49E-7]  [  62 -18  87]
ST    11-3  5.04E1  [ -87 3.57E-5 7.93E-7]  [  59 -13  87]
ST    11-4  5.16E1  [-207 3.2E-11 8.30E-7]  [  63 -23  87]
ST    12-1  5.28E1  [   0 8.27E-1 8.39E-7]  [  63 -23  87]
ST    12-2  5.40E1  [ -18 9.30E-2 8.78E-7]  [  62 -18  87]
ST    12-3  5.54E1  [ -82 6.07E-5 8.60E-7]  [  59 -12  89]
ST    12-4  5.66E1  [-198 9.3E-11 9.92E-7]  [  63 -21  87]
ST    13-1  5.78E1  [   0 8.44E-1 8.33E-7]  [  63 -24  87]
ST    13-2  5.90E1  [ -17 1.15E-1 9.05E-7]  [  62 -18  87]
ST    13-3  6.02E1  [ -78 9.53E-5 9.69E-7]  [  57 -10  87]
ST    13-4  6.14E1  [-192 1.9E-10 8.84E-7]  [  63 -22  87]
ST    14-1  6.26E1  [   0 8.74E-1 9.90E-7]  [  62 -22  87]
ST    14-2  6.38E1  [ -15 1.43E-1 9.99E-7]  [  62 -17  87]
ST    14-3  6.49E1  [ -75 1.46E-4 8.08E-7]  [  59 -14  87]
ST    14-4  6.61E1  [-189 2.9E-10 7.39E-7]  [  63 -18  87]
ST    15-1  6.73E1  [   0 9.22E-1 9.23E-7]  [  62 -21  87]
ST    15-2  6.86E1  [ -14 1.76E-1 9.14E-7]  [  64 -19  87]
ST    15-3  6.97E1  [ -71 2.34E-4 8.18E-7]  [  61 -17  87]
ST    15-4  7.09E1  [-183 6.0E-10 7.47E-7]  [  63 -26  87]
ST    16-1  7.21E1  [   0 9.83E-1 9.20E-7]  [  60 -15  87]
ST    16-2  7.33E1  [ -13 2.06E-1 7.63E-7]  [  65 -22  87]
ST    16-3  7.45E1  [ -69 3.27E-4 8.10E-7]  [  62 -19  87]
ST    16-4  7.57E1  [-178 1.15E-9 7.79E-7]  [  64 -26  87]
ST    17-1  7.69E1  [   0 1.04791 9.29E-7]  [  62 -17  87]
ST    17-2  7.81E1  [ -13 2.26E-1 7.52E-7]  [  66 -24  87]
ST    17-3  7.93E1  [ -69 3.62E-4 9.76E-7]  [  63 -19  87]
ST    17-4  8.05E1  [-177 1.39E-9 9.82E-7]  [  66 -24  87]
ST    18-1  8.17E1  [   0 1.10476 9.55E-7]  [  65 -21  87]
ST    18-2  8.30E1  [ -13 2.32E-1 8.57E-7]  [  66 -25  87]
ST    18-3  8.42E1  [ -70 3.29E-4 8.95E-7]  [  65 -21  87]
ST    18-4  8.55E1  [-178 1.26E-9 9.06E-7]  [  61 -19  75]
ST    19-1  8.68E1  [   0 1.15003 8.36E-7]  [  66 -25  87]
ST    19-2  8.80E1  [ -14 2.24E-1 8.26E-7]  [  66 -27  87]
