lumen_inlet lumen_outlet lumen_wall 
1.249455E1 1.249056E1 3.765934E2 

1.632949E3 4.923109E2 1.064807E3 
5.543644E1 7.733140E2 4.122955E2 
1.474202E3 1.035532E3 1.256742E3 
7.047138E2 1.132364E3 9.171718E2 
1.161281E3 1.135054E3 1.149153E3 
8.751899E2 1.060601E3 9.671915E2 
1.077322E3 1.001699E3 1.039869E3 
1.209000E3 1.042229E3 1.125270E3 
1.661690E3 1.272178E3 1.467020E3 
2.288046E3 1.750503E3 2.019135E3 
3.162950E3 2.499118E3 2.831091E3 
4.195782E3 3.492216E3 3.844028E3 
5.333067E3 4.662701E3 4.998022E3 
6.481821E3 5.915239E3 6.198691E3 
7.572898E3 7.148137E3 7.360724E3 
8.558875E3 8.276901E3 8.418090E3 
9.435370E3 9.255305E3 9.345525E3 
1.024066E4 1.008830E4 1.016463E4 
1.105053E4 1.083364E4 1.094220E4 
1.196171E4 1.159103E4 1.177646E4 
1.307008E4 1.248072E4 1.277550E4 
1.444731E4 1.361588E4 1.403174E4 
1.612163E4 1.507478E4 1.559844E4 
1.806751E4 1.687934E4 1.747379E4 
2.020715E4 1.898537E4 1.959678E4 
2.242459E4 2.128775E4 2.185686E4 
2.458995E4 2.364034E4 2.411598E4 
2.658913E4 2.588726E4 2.623913E4 
2.835260E4 2.789907E4 2.812681E4 
2.987648E4 2.960619E4 2.974229E4 
3.123034E4 3.102125E4 3.112671E4 
3.254860E4 3.224454E4 3.239743E4 
3.400557E4 3.344942E4 3.372833E4 
3.577789E4 3.484880E4 3.531423E4 
3.800112E4 3.664829E4 3.732575E4 
4.072901E4 3.899452E4 3.986308E4 
4.390440E4 4.192916E4 4.291848E4 
4.734898E4 4.535913E4 4.635623E4 
5.077611E4 4.905062E4 4.991603E4 
5.382669E4 5.265087E4 5.324185E4 
5.612344E4 5.573625E4 5.593316E4 
5.733541E4 5.787995E4 5.761099E4 
5.724160E4 5.872840E4 5.798803E4 
5.578237E4 5.807299E4 5.693021E4 
5.308878E4 5.590383E4 5.449816E4 
4.948251E4 5.243452E4 5.095968E4 
4.544609E4 4.809192E4 4.676956E4 
4.156523E4 4.347046E4 4.251793E4 
3.845289E4 3.925712E4 3.885480E4 
3.666600E4 3.613836E4 3.640189E4 
3.662878E4 3.470387E4 3.566618E4 
3.857443E4 3.536268E4 3.696881E4 
4.251494E4 3.828538E4 4.040111E4 
4.824339E4 4.338198E4 4.581463E4 
5.536809E4 5.031868E4 5.284660E4 
6.337231E4 5.857041E4 6.097600E4 
7.168942E4 6.749999E4 6.960078E4 
7.978110E4 7.645044E4 7.812312E4 
8.720585E4 8.483525E4 8.602886E4 
9.366781E4 9.221208E4 9.294884E4 
9.903915E4 9.832904E4 9.869323E4 
1.033545E5 1.031376E5 1.032552E5 
1.067807E5 1.067727E5 1.067856E5 
1.095688E5 1.095049E5 1.095456E5 
1.119984E5 1.116769E5 1.118463E5 
1.143249E5 1.136340E5 1.139882E5 
1.167377E5 1.156644E5 1.162101E5 
1.193374E5 1.179561E5 1.186563E5 
1.221320E5 1.205783E5 1.213652E5 
1.250523E5 1.234876E5 1.242807E5 
1.279806E5 1.265555E5 1.272794E5 
1.307855E5 1.296092E5 1.302092E5 
1.333555E5 1.324763E5 1.329282E5 
1.356239E5 1.350249E5 1.353369E5 
1.375815E5 1.371899E5 1.373983E5 
1.392748E5 1.389829E5 1.391415E5 
