lumen_inlet lumen_outlet lumen_wall 
1.249455E1 1.249056E1 3.765934E2 

-1.2966852 1.80051016 0.00000000 
-1.4028263 1.15091387 0.00000000 
-1.3144601 1.44041632 0.00000000 
-1.0800156 1.01703753 0.00000000 
-7.9866E-1 8.30151E-1 0.00000000 
-5.9878E-1 5.83044E-1 0.00000000 
-6.0882E-1 6.16696E-1 0.00000000 
-9.2693E-1 9.22995E-1 0.00000000 
-1.5965763 1.59854441 0.00000000 
-2.5938981 2.59291413 0.00000000 
-3.8303086 3.83080068 0.00000000 
-5.1703593 5.17011334 0.00000000 
-6.4613836 6.46150663 0.00000000 
-7.5685481 7.56848662 0.00000000 
-8.4074094 8.40744022 0.00000000 
-8.9662807 8.96626541 0.00000000 
-9.3126940 9.31270177 0.00000000 
-9.5816276 9.58162378 0.00000000 
-9.9472481 9.94725010 0.00000000 
-1.05838E1 1.058380E1 0.00000000 
-1.16241E1 1.162411E1 0.00000000 
-1.31251E1 1.312511E1 0.00000000 
-1.50489E1 1.504891E1 0.00000000 
-1.72647E1 1.726471E1 0.00000000 
-1.95725E1 1.957259E1 0.00000000 
-2.17452E1 2.174523E1 0.00000000 
-2.35793E1 2.357936E1 0.00000000 
-2.49457E1 2.494576E1 0.00000000 
-2.58264E1 2.582646E1 0.00000000 
-2.63295E1 2.632951E1 0.00000000 
-2.66759E1 2.667592E1 0.00000000 
-2.71593E1 2.715931E1 0.00000000 
-2.80844E1 2.808445E1 0.00000000 
-2.96960E1 2.969609E1 0.00000000 
-3.21125E1 3.211254E1 0.00000000 
-3.52784E1 3.527844E1 0.00000000 
-3.89485E1 3.894851E1 0.00000000 
-4.27087E1 4.270870E1 0.00000000 
-4.60338E1 4.603380E1 0.00000000 
-4.83736E1 4.837362E1 0.00000000 
-4.92535E1 4.925350E1 0.00000000 
-4.83710E1 4.837105E1 0.00000000 
-4.56708E1 4.567087E1 0.00000000 
-4.13818E1 4.138182E1 0.00000000 
-3.60077E1 3.600775E1 0.00000000 
-3.02707E1 3.027071E1 0.00000000 
-2.50140E1 2.501406E1 0.00000000 
-2.10807E1 2.108079E1 0.00000000 
-1.91869E1 1.918692E1 0.00000000 
-1.98114E1 1.981141E1 0.00000000 
-2.31214E1 2.312142E1 0.00000000 
-2.89459E1 2.894591E1 0.00000000 
-3.68020E1 3.680204E1 0.00000000 
-4.59699E1 4.596991E1 0.00000000 
-5.56026E1 5.560268E1 0.00000000 
-6.48531E1 6.485314E1 0.00000000 
-7.29954E1 7.299542E1 0.00000000 
-7.95218E1 7.952186E1 0.00000000 
-8.41998E1 8.419982E1 0.00000000 
-8.70809E1 8.708097E1 0.00000000 
-8.84639E1 8.846398E1 0.00000000 
-8.88198E1 8.881984E1 0.00000000 
-8.86951E1 8.869510E1 0.00000000 
-8.86113E1 8.861138E1 0.00000000 
-8.89792E1 8.897922E1 0.00000000 
-9.00403E1 9.004037E1 0.00000000 
-9.18467E1 9.184678E1 0.00000000 
-9.42767E1 9.427677E1 0.00000000 
-9.70822E1 9.708227E1 0.00000000 
-9.99552E1 9.995527E1 0.00000000 
-1.02598E2 1.025989E2 0.00000000 
-1.04789E2 1.047892E2 0.00000000 
-1.06415E2 1.064150E2 0.00000000 
-1.07491E2 1.074913E2 0.00000000 
-1.08144E2 1.081445E2 0.00000000 
-1.08575E2 1.085750E2 0.00000000 
-1.09007E2 1.090075E2 0.00000000 
