lumen_inlet lumen_outlet lumen_wall 
1.249455E1 1.249056E1 3.765934E2 

1.73142137 4.275258E1 -1.10007E1 
3.34063763 -2.66392E1 2.47329855 
3.01062322 3.13477538 -6.2200114 
3.10478444 3.60429E-1 -5.4111E-1 
3.12770647 2.30393404 -5.3558060 
3.01033037 2.73856E-1 3.97620259 
3.05709573 4.47193E-1 -5.8174E-1 
2.79449653 1.21807296 -6.8579765 
2.94746228 3.95140E-1 -5.4098599 
3.26897497 8.79666E-1 1.87695420 
4.69128242 5.03679E-1 1.10504699 
7.53406109 4.62134E-1 -3.1473619 
1.141744E1 5.70052E-1 -5.2355E-2 
1.318460E1 6.11756E-1 5.74882E-1 
8.71225686 4.03969E-1 -3.2027446 
-2.2571530 1.74164E-1 -3.0973677 
-1.13884E1 3.07274E-1 3.87715E-2 
-8.0737632 4.99855E-1 -1.2133368 
5.23664708 4.93360E-1 -3.8463650 
1.210466E1 3.80463E-1 -2.8444367 
4.38463983 3.53846E-1 2.12240E-1 
-4.9047990 5.04100E-1 1.58059805 
-1.9529876 9.65778E-1 -1.9207E-1 
5.61045193 1.88809406 -2.2364367 
4.10422743 3.29329681 -2.1699257 
-1.7557139 4.87389225 -9.9070E-1 
-7.2633E-1 5.64943364 1.15373E-1 
3.26894343 4.31282877 5.87655E-1 
1.98835938 4.82533E-1 2.96740E-1 
-5.9286E-1 -4.3319466 -6.7856E-1 
7.51067E-1 -6.9158184 -1.7174058 
2.11217918 -4.6181183 -1.5897854 
9.78359E-1 1.15487637 -1.5517E-1 
5.86593E-1 5.04646567 4.72413E-1 
1.31025220 3.24714083 -9.4774E-1 
1.17141559 -1.8840858 -2.1570651 
1.34829566 -4.2760232 -1.1142711 
2.91742049 -1.4680568 4.78844E-1 
4.41280172 2.26078699 8.26061E-1 
5.09822719 1.90155996 8.09757E-1 
4.95210438 -1.2645455 9.60318E-1 
3.02641217 -2.1288561 -8.5050E-2 
-7.1915E-1 1.81612E-1 -2.0024471 
-4.4012606 1.52251912 -2.0535574 
-5.6555295 5.68094E-2 -2.9674E-1 
-3.0348367 -1.1899300 1.46961E-1 
2.33756943 -2.1687E-1 -1.3130734 
6.45430841 8.36072E-1 -1.9165330 
5.80153251 3.31762E-1 -6.8481E-1 
1.00794507 5.86911E-2 3.08885E-1 
-3.5943702 1.42321400 -1.3688E-1 
-4.1186994 2.92277272 -1.0000799 
-1.1273004 3.18780886 -1.1843926 
1.01425902 2.86220551 -6.2254E-1 
-6.5615E-1 2.29458230 4.28783E-1 
-4.1667064 7.04923E-1 1.61197443 
-5.3526332 -1.6326638 2.06893864 
-3.3272169 -3.0476093 1.32687238 
-1.3376440 -2.5482940 3.14730E-1 
-1.9382536 -5.4338E-1 3.52494E-1 
-3.5498521 1.83990776 1.38004213 
-3.2662941 2.99547634 2.00619608 
-1.2189955 1.63476531 1.51508885 
1.44568E-1 -1.5869870 7.81143E-1 
6.20688E-2 -4.1669014 7.42659E-1 
9.51901E-2 -4.1738468 1.22392920 
8.82318E-1 -2.1379542 1.63168245 
8.78139E-1 -3.4810E-1 1.69412399 
-1.0356342 -4.8196E-1 1.23535854 
-3.7678902 -1.9306282 3.79881E-1 
-5.6755647 -2.5816443 -1.5082E-1 
-6.3105694 -1.3773250 2.30685E-1 
-5.7380378 4.29406E-1 1.17021920 
-3.8209480 1.02346778 1.83591333 
-1.2742144 3.61413E-1 1.90997835 
