lumen_inlet lumen_outlet lumen_wall 
1.249455E1 1.249056E1 3.765934E2 

-1.03691E5 1.720554E7 -1.90435E7 
-1.12643E5 4.659456E6 -4.73330E6 
-1.05049E5 4.013401E6 -4.26036E6 
-8.60799E4 4.770723E6 -4.99429E6 
-6.34676E4 4.455403E6 -4.69712E6 
-4.77240E4 4.525913E6 -4.75463E6 
-4.86879E4 4.433805E6 -4.64785E6 
-7.40153E4 4.483950E6 -4.68043E6 
-1.26954E5 4.495130E6 -4.62619E6 
-2.05947E5 4.578028E6 -4.56371E6 
-3.03511E5 4.512163E6 -4.41040E6 
-4.06530E5 4.425388E6 -4.20237E6 
-4.99853E5 4.391029E6 -3.99336E6 
-5.68149E5 4.446741E6 -3.78474E6 
-6.06612E5 4.488182E6 -3.76606E6 
-6.32956E5 4.488104E6 -4.03576E6 
-6.71942E5 4.489433E6 -3.94081E6 
-7.26019E5 4.455658E6 -3.61402E6 
-7.75020E5 4.380719E6 -3.76374E6 
-8.10284E5 4.370133E6 -3.61865E6 
-8.60818E5 4.454370E6 -3.59721E6 
-9.69940E5 4.491915E6 -3.57976E6 
-1.13827E6 4.408529E6 -3.29020E6 
-1.31557E6 4.287586E6 -3.06146E6 
-1.47221E6 4.157883E6 -2.71544E6 
-1.62951E6 3.962751E6 -2.39678E6 
-1.78422E6 3.711938E6 -1.96304E6 
-1.88903E6 3.507753E6 -1.73877E6 
-1.93995E6 3.468400E6 -1.83856E6 
-1.97991E6 3.668349E6 -2.14627E6 
-2.02053E6 4.081506E6 -2.35469E6 
-2.05692E6 4.488374E6 -2.49794E6 
-2.11868E6 4.522999E6 -2.52223E6 
-2.23901E6 4.099054E6 -1.99482E6 
-2.42077E6 3.671960E6 -1.36484E6 
-2.65809E6 3.705537E6 -1.31548E6 
-2.93757E6 4.112622E6 -1.39975E6 
-3.21133E6 4.393359E6 -1.29510E6 
-3.42019E6 4.247837E6 -8.85070E5 
-3.53120E6 3.963047E6 -3.56923E5 
-3.52665E6 3.958971E6 -2.88771E5 
-3.40354E6 4.191732E6 -5.80586E5 
-3.18701E6 4.277106E6 -9.49307E5 
-2.90470E6 4.106834E6 -1.13064E6 
-2.56979E6 4.005775E6 -1.35075E6 
-2.20045E6 4.146609E6 -1.88215E6 
-1.83616E6 4.272567E6 -2.44852E6 
-1.53921E6 4.170649E6 -2.62748E6 
-1.37904E6 4.030897E6 -2.56993E6 
-1.40776E6 4.057091E6 -2.61644E6 
-1.65052E6 4.107748E6 -2.44411E6 
-2.10133E6 3.987772E6 -1.86200E6 
-2.71058E6 3.775970E6 -1.12916E6 
-3.39694E6 3.627038E6 -3.21603E5 
-4.09783E6 3.540492E6 4.562368E5 
-4.79114E6 3.506553E6 1.079292E6 
-5.44640E6 3.605311E6 1.558792E6 
-5.98746E6 3.833727E6 1.872006E6 
-6.34739E6 4.030540E6 2.106319E6 
-6.54364E6 4.052093E6 2.263733E6 
-6.65175E6 3.904218E6 2.386370E6 
-6.71303E6 3.693408E6 2.576454E6 
-6.71791E6 3.566000E6 2.667363E6 
-6.67653E6 3.645492E6 2.528998E6 
-6.64907E6 3.918577E6 2.333293E6 
-6.68610E6 4.207899E6 2.282663E6 
-6.77728E6 4.323158E6 2.409493E6 
-6.88717E6 4.256516E6 2.735828E6 
-7.01585E6 4.185567E6 3.075356E6 
-7.19070E6 4.267517E6 3.213948E6 
