lumen_inlet lumen_outlet lumen_wall 
1.249455E1 1.249056E1 3.765934E2 

7.995492E4 6.854938E4 7.961225E4 
8.031916E4 7.976066E4 7.925112E4 
7.990805E4 7.753075E4 7.898277E4 
7.970916E4 7.799515E4 7.879460E4 
7.946877E4 7.780872E4 7.858522E4 
7.970132E4 7.769761E4 7.838307E4 
7.997277E4 7.742299E4 7.817800E4 
7.984939E4 7.734575E4 7.797629E4 
7.951608E4 7.736177E4 7.777281E4 
7.939536E4 7.761879E4 7.757112E4 
7.924163E4 7.762173E4 7.736613E4 
7.863337E4 7.733704E4 7.715273E4 
7.737093E4 7.701962E4 7.691649E4 
7.507239E4 7.697574E4 7.664983E4 
7.213464E4 7.709930E4 7.637723E4 
7.054944E4 7.719433E4 7.615898E4 
7.211586E4 7.725528E4 7.604240E4 
7.578507E4 7.719334E4 7.599024E4 
7.796707E4 7.691814E4 7.588905E4 
7.658195E4 7.668291E4 7.567559E4 
7.401263E4 7.678497E4 7.542843E4 
7.385436E4 7.699967E4 7.526338E4 
7.565097E4 7.690207E4 7.516517E4 
7.622677E4 7.644229E4 7.502626E4 
7.519528E4 7.571416E4 7.483026E4 
7.489744E4 7.461273E4 7.465726E4 
7.567013E4 7.306114E4 7.452291E4 
7.573778E4 7.132876E4 7.437281E4 
7.509559E4 7.003132E4 7.422002E4 
7.517757E4 6.987425E4 7.413211E4 
7.574856E4 7.121088E4 7.410560E4 
7.573458E4 7.348217E4 7.407477E4 
7.542206E4 7.514232E4 7.400120E4 
7.538586E4 7.487335E4 7.388341E4 
7.537451E4 7.316633E4 7.374514E4 
7.532437E4 7.200376E4 7.364125E4 
7.539956E4 7.259805E4 7.360215E4 
7.517536E4 7.403052E4 7.358087E4 
7.427773E4 7.459057E4 7.351634E4 
7.297693E4 7.397952E4 7.341574E4 
7.158383E4 7.344730E4 7.332981E4 
7.034362E4 7.384166E4 7.328157E4 
6.976176E4 7.446045E4 7.325143E4 
7.018056E4 7.435785E4 7.321993E4 
7.137035E4 7.389636E4 7.319538E4 
7.271252E4 7.399773E4 7.317830E4 
7.343696E4 7.451624E4 7.312610E4 
7.303929E4 7.458353E4 7.299890E4 
7.187455E4 7.414347E4 7.282265E4 
7.103592E4 7.388516E4 7.266297E4 
7.135486E4 7.389916E4 7.255163E4 
7.257136E4 7.356479E4 7.247068E4 
7.363244E4 7.263811E4 7.239322E4 
7.386013E4 7.148871E4 7.231552E4 
7.363971E4 7.042948E4 7.226023E4 
7.380478E4 6.962766E4 7.226184E4 
7.454707E4 6.944712E4 7.233662E4 
7.523850E4 7.013409E4 7.246082E4 
7.532898E4 7.129620E4 7.259250E4 
7.507899E4 7.216316E4 7.271300E4 
7.512557E4 7.223030E4 7.282838E4 
7.552601E4 7.152309E4 7.294011E4 
7.569613E4 7.056942E4 7.304321E4 
7.529657E4 7.017900E4 7.314871E4 
7.466834E4 7.086459E4 7.327760E4 
7.419742E4 7.233005E4 7.342794E4 
7.372964E4 7.370885E4 7.357073E4 
7.298504E4 7.438763E4 7.368789E4 
7.218621E4 7.454313E4 7.379989E4 
7.185116E4 7.484757E4 7.394425E4 
7.217481E4 7.566180E4 7.413387E4 
7.294238E4 7.661340E4 7.434703E4 
7.383744E4 7.707525E4 7.455415E4 
7.451798E4 7.694035E4 7.474223E4 
7.461296E4 7.669228E4 7.491349E4 
7.405068E4 7.673551E4 7.507434E4 
