lumen_inlet lumen_outlet lumen_wall 
1.249455E1 1.249056E1 3.765934E2 

-1.2966852 2.501694E2 -2.48872E2 
-1.4028263 5.832582E1 -5.69230E1 
-1.3144601 5.175524E1 -5.04407E1 
-1.0800156 6.113101E1 -6.00510E1 
-7.9866E-1 5.725387E1 -5.64553E1 
-5.9878E-1 5.823167E1 -5.76328E1 
-6.0882E-1 5.725406E1 -5.66452E1 
-9.2693E-1 5.795766E1 -5.70307E1 
-1.5965763 5.808969E1 -5.64931E1 
-2.5938981 5.896550E1 -5.63716E1 
-3.8303086 5.811446E1 -5.42841E1 
-5.1703593 5.720729E1 -5.20369E1 
-6.4613836 5.699680E1 -5.05354E1 
-7.5685481 5.775262E1 -5.01840E1 
-8.4074094 5.819714E1 -4.97897E1 
-8.9662807 5.812439E1 -4.91581E1 
-9.3126940 5.809583E1 -4.87831E1 
-9.5816276 5.770513E1 -4.81235E1 
-9.9472481 5.693772E1 -4.69904E1 
-1.05838E1 5.697419E1 -4.63903E1 
-1.16241E1 5.799481E1 -4.63707E1 
-1.31251E1 5.832056E1 -4.51954E1 
-1.50489E1 5.731102E1 -4.22621E1 
-1.72647E1 5.607455E1 -3.88098E1 
-1.95725E1 5.490181E1 -3.53292E1 
-2.17452E1 5.309840E1 -3.13531E1 
-2.35793E1 5.079437E1 -2.72150E1 
-2.49457E1 4.916558E1 -2.42198E1 
-2.58264E1 4.951280E1 -2.36863E1 
-2.63295E1 5.248203E1 -2.61525E1 
-2.66759E1 5.729483E1 -3.06189E1 
-2.71593E1 6.105991E1 -3.39005E1 
-2.80844E1 6.017509E1 -3.20906E1 
-2.96960E1 5.473340E1 -2.50373E1 
-3.21125E1 5.017417E1 -1.80616E1 
-3.52784E1 5.144760E1 -1.61691E1 
-3.89485E1 5.663008E1 -1.76815E1 
-4.27087E1 5.932673E1 -1.66180E1 
-4.60338E1 5.693337E1 -1.08995E1 
-4.83736E1 5.355520E1 -5.1815827 
-4.92535E1 5.388593E1 -4.6324341 
-4.83710E1 5.674862E1 -8.3775731 
-4.56708E1 5.742464E1 -1.17537E1 
-4.13818E1 5.521558E1 -1.38337E1 
-3.60077E1 5.419232E1 -1.81845E1 
-3.02707E1 5.601974E1 -2.57490E1 
-2.50140E1 5.732031E1 -3.23062E1 
-2.10807E1 5.590335E1 -3.48225E1 
-1.91869E1 5.435061E1 -3.51636E1 
-1.98114E1 5.489468E1 -3.50832E1 
-2.31214E1 5.557015E1 -3.24487E1 
-2.89459E1 5.419312E1 -2.52472E1 
-3.68020E1 5.196967E1 -1.51676E1 
-4.59699E1 5.072242E1 -4.7525065 
-5.56026E1 5.025650E1 5.34617988 
-6.48531E1 5.034705E1 1.450608E1 
-7.29954E1 5.189804E1 2.109737E1 
-7.95218E1 5.464442E1 2.487743E1 
-8.41998E1 5.651354E1 2.768628E1 
-8.70809E1 5.613450E1 3.094647E1 
-8.84639E1 5.403723E1 3.442674E1 
-8.88198E1 5.162572E1 3.719412E1 
-8.86951E1 5.051776E1 3.817734E1 
-8.86113E1 5.192923E1 3.668215E1 
-8.89792E1 5.527740E1 3.370181E1 
-9.00403E1 5.815598E1 3.188438E1 
-9.18467E1 5.863271E1 3.321407E1 
-9.42767E1 5.720343E1 3.707334E1 
-9.70822E1 5.613266E1 4.094960E1 
-9.99552E1 5.699791E1 4.295735E1 
-1.02598E2 5.898060E1 4.361837E1 
