lumen_inlet lumen_outlet lumen_wall 
1.249455E1 1.249056E1 3.765934E2 

1.73149088 4.275261E1 -1.10035E1 
3.34053218 -2.66392E1 2.47750631 
3.01074968 3.13478450 -6.2246743 
3.10468879 3.60429E-1 -5.3657E-1 
3.12777732 2.30393636 -5.3599814 
3.01026454 2.73867E-1 3.97979545 
3.05714351 4.47189E-1 -5.8477E-1 
2.79445846 1.21807968 -6.8555212 
2.94748778 3.95141E-1 -5.4118381 
3.26895226 8.79666E-1 1.87850826 
4.69129365 5.03674E-1 1.10386560 
7.53404173 4.62129E-1 -3.1464561 
1.141744E1 5.70049E-1 -5.3028E-2 
1.318460E1 6.11759E-1 5.75409E-1 
8.71226924 4.03972E-1 -3.2031274 
-2.2571513 1.74164E-1 -3.0970870 
-1.13884E1 3.07271E-1 3.85840E-2 
-8.0737660 4.99855E-1 -1.2131959 
5.23664953 4.93361E-1 -3.8464662 
1.210466E1 3.80460E-1 -2.8443587 
4.38463981 3.53838E-1 2.12193E-1 
-4.9048001 5.04098E-1 1.58062968 
-1.9529858 9.65782E-1 -1.9209E-1 
5.61045124 1.88809482 -2.2364149 
4.10422317 3.29329038 -2.1699346 
-1.7557181 4.87388769 -9.9070E-1 
-7.2633E-1 5.64943488 1.15369E-1 
3.26894711 4.31283066 5.87667E-1 
1.98836406 4.82534E-1 2.96742E-1 
-5.9285E-1 -4.3319432 -6.7856E-1 
7.51070E-1 -6.9158153 -1.7174063 
2.11217938 -4.6181186 -1.5897837 
9.78359E-1 1.15487539 -1.5517E-1 
5.86593E-1 5.04646635 4.72414E-1 
1.31025083 3.24714095 -9.4774E-1 
1.17141365 -1.8840870 -2.1570665 
1.34829542 -4.2760239 -1.1142695 
2.91742204 -1.4680573 4.78848E-1 
4.41280199 2.26078576 8.26060E-1 
5.09822469 1.90155887 8.09753E-1 
4.95210283 -1.2645443 9.60318E-1 
3.02641626 -2.1288521 -8.5046E-2 
-7.1915E-1 1.81617E-1 -2.0024447 
-4.4012546 1.52252210 -2.0535568 
-5.6555287 5.68098E-2 -2.9674E-1 
-3.0348381 -1.1899308 1.46960E-1 
2.33756862 -2.1687E-1 -1.3130738 
6.45430789 8.36071E-1 -1.9165319 
5.80153188 3.31761E-1 -6.8481E-1 
1.00794526 5.86907E-2 3.08884E-1 
-3.5943699 1.42321382 -1.3688E-1 
-4.1187006 2.92277227 -1.0000797 
-1.1273022 3.18780884 -1.1843915 
1.01425937 2.86220637 -6.2254E-1 
-6.5614E-1 2.29458357 4.28780E-1 
-4.1667027 7.04925E-1 1.61197489 
-5.3526298 -1.6326614 2.06894243 
-3.3272143 -3.0476072 1.32687523 
-1.3376435 -2.5482943 3.14730E-1 
-1.9382557 -5.4338E-1 3.52493E-1 
-3.5498548 1.83990576 1.38004144 
-3.2662955 2.99547631 2.00619578 
-1.2189955 1.63476609 1.51508843 
1.44568E-1 -1.5869871 7.81142E-1 
6.20688E-2 -4.1669027 7.42658E-1 
9.51904E-2 -4.1738480 1.22392913 
8.82319E-1 -2.1379544 1.63168336 
8.78140E-1 -3.4810E-1 1.69412469 
-1.0356324 -4.8196E-1 1.23535787 
-3.7678875 -1.9306256 3.79880E-1 
-5.6755610 -2.5816422 -1.5082E-1 
-6.3105657 -1.3773243 2.30686E-1 
-5.7380361 4.29406E-1 1.17022022 
-3.8209490 1.02346662 1.83591278 
-1.2742169 3.61412E-1 1.90997695 
